"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000241860.8",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000308579.1",1.30841756398297,-3.63335819280744,2.29624614643427,-1.58230344706272,0.113580314210487,0.173135860930339
"ENSG00000310527.1",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000225880.7",8.83493383679929,-1.51260874298394,1.03700105921206,-1.45863760653558,0.144664877241959,0.213067804953086
"ENSG00000225972.1",423.653146098029,0.105116600447378,0.652805561924595,0.161022832185243,0.872075417809597,0.904255322525819
"ENSG00000225630.1",212.399784553235,-0.160132739917643,0.660504035138832,-0.24244021444015,0.808439076998736,0.852369001241052
"ENSG00000237973.1",64.0626161565376,-0.787326020097195,0.69958461811701,-1.12541928411226,0.260411403153273,0.349173591052525
"ENSG00000229344.1",20.3490083998494,0.0406432512043554,0.788922580471143,0.0515174140155595,0.958913225898546,0.969343253791551
"ENSG00000240409.1",57.0345446700005,-2.86624536434671,0.779627556071621,-3.67642901026885,0.000236521634468304,0.00277471475406456
"ENSG00000248527.1",28166.1055219469,-0.47816709853793,0.645313947430479,-0.740983672275957,0.458703340355089,0.55250273748771
"ENSG00000198744.5",53.7946535591855,0.313360162489622,0.702952787845967,0.445776968108826,0.655758360402741,0.732487884685006
"ENSG00000237491.11",3.30219670909988,2.7161986677016,1.70700907277342,1.59120341597747,0.111563804371814,0.173135860930339
"ENSG00000228794.13",36.2244748428428,0.0367282509949826,0.729438839658792,0.0503513783447052,0.959842381662746,0.970077234630165
"ENSG00000187634.13",2.86605752110555,5.15886476664721,2.23499404254241,2.3082230504645,0.0209867337519687,0.0530723277570961
"ENSG00000188976.11",1.44548988020976,-0.605717915008177,1.88103651676275,-0.322012842180551,0.747442965625779,0.805369350341034
"ENSG00000187961.15",40.3740276886174,0.394280067268659,0.721347084592989,0.546588564215417,0.584661427412923,0.666538026526546
"ENSG00000187583.11",41.9441287653969,-0.859475806154237,0.727939737749576,-1.18069637029475,0.237723363956794,0.323589362746227
"ENSG00000187608.10",12.0623638279573,2.56420255572504,1.02578957013961,2.4997354529312,0.0124286078399553,0.0372837224169253
"ENSG00000188157.16",19.9253303315121,5.48172730191214,1.59963034423396,3.42687129040256,0.000610578403086906,0.00510632075191799
"ENSG00000291156.2",95.7138600852685,1.18617159574218,0.682115328197127,1.73896047590267,0.0820417153659893,0.137176504831407
"ENSG00000285812.1",18.3178458957616,-7.4406977460197,2.15140077497673,-3.45853633249722,0.000543119013637408,0.0047587665593285
"ENSG00000186891.14",3.19004663218705,-2.19067600481253,1.68656876044226,-1.29889516288566,0.193979909924538,0.271563408513388
"ENSG00000186827.12",54.6918541744881,-2.5398301512741,0.764456802909561,-3.32239852089402,0.000892471277385585,0.00655897737241683
"ENSG00000078808.20",122.430500629835,1.4036175899976,0.675819683643159,2.07691137735302,0.0378097394780662,0.0783452439866063
"ENSG00000176022.7",146.605072764378,-1.13553983277047,0.671789155366383,-1.6903217679231,0.0909664128012663,0.150206205997805
"ENSG00000184163.3",6.97822700790917,-6.04838633354065,2.17003526244343,-2.78722951567628,0.00531608128862808,0.0209494475464249
"ENSG00000160087.21",118.206181066119,-0.483235262372764,0.673534324588267,-0.717461968502002,0.473089094940399,0.566800412954024
"ENSG00000230415.2",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000162572.21",1.74455675197729,-4.04839414423605,2.258163517781,-1.7927816618941,0.0730078428488308,0.124113332843012
"ENSG00000131584.19",26.9409406983922,8.39151249705537,2.15016634516545,3.90272711500823,9.51149183430618e-05,0.00152676063482798
"ENSG00000169972.13",3.43926902532666,5.42189824236165,2.2194189719583,2.44293588135712,0.0145683253133753,0.0408504872164792
"ENSG00000127054.22",84.1374799239335,-2.50383855465947,0.723582804318726,-3.46033451833741,0.000539504718106366,0.00475150080824873
"ENSG00000224051.7",10.5545683494626,-0.705254842766597,0.923238069672657,-0.763892722726059,0.444931174498859,0.542064835649337
"ENSG00000107404.21",41.2961505432339,-0.162112964856154,0.720497942671466,-0.225001287658186,0.821978272539847,0.863404329109206
"ENSG00000175756.14",53.6700423626157,-0.945569147979687,0.712047670173891,-1.32795764607834,0.184192099195311,0.260614198760737
"ENSG00000223663.2",4.58569203376889,5.83693419819021,2.19979506545772,2.65339907787078,0.00796855958226216,0.0274170333653604
"ENSG00000221978.13",300.811428519513,-0.026294966822093,0.655941729295993,-0.040087351738263,0.968023485547758,0.976981363657069
"ENSG00000224870.10",5.23367025593188,-5.63335053887182,2.18000323952796,-2.58410191174377,0.00976329405645845,0.0315855720626453
"ENSG00000242485.6",143.614404046702,1.81178528694827,0.674876938950921,2.68461579049456,0.00726132259508191,0.0258367699309937
"ENSG00000272455.1",2.18069593997162,-4.37032103892257,2.23500246967322,-1.95539875155554,0.0505360233730401,0.0973194322555078
"ENSG00000235098.9",5.02183122176321,3.39426912683605,1.66065548182924,2.0439333528091,0.040960131670203,0.084005902880199
"ENSG00000179403.12",12.3365084604109,3.71620223554384,1.24940633997037,2.97437440219167,0.00293586615974623,0.0141720216704807
"ENSG00000215915.10",71.4769823524411,3.01876942768987,0.742061786980904,4.06808365644565,4.74013645964126e-05,0.000968846818836166
"ENSG00000160072.20",10.9034796998581,-6.69223979486706,2.15921815984023,-3.09938102565897,0.0019392544630092,0.0106676860545773
"ENSG00000197785.14",18.5296849299303,2.3418109745487,0.889212157906089,2.63357957235221,0.00844900354735799,0.0284271657597754
"ENSG00000205090.10",5.20874801661792,-1.02075584889062,1.17056835154591,-0.872017296164341,0.383198941912272,0.47908006473153
"ENSG00000160075.12",239.540103166139,-0.645008155545623,0.659738970272849,-0.977671752934142,0.328236696688458,0.422208921596652
"ENSG00000215014.5",1.14642300844222,3.83694087929067,2.37056920073132,1.61857366496915,0.105539025158872,NA
"ENSG00000228594.4",18.3178458957616,-7.4406977460197,2.15140077497673,-3.45853633249722,0.000543119013637408,0.0047587665593285
"ENSG00000286989.2",3.92525269194891,-5.21831469990553,2.19322340203804,-2.37929008739212,0.0173460193340181,0.04629675626249
"ENSG00000272106.1",21.7820371604022,8.08485249179948,2.152603901069,3.75584773760954,0.000172755705905489,0.00223646072387675
"ENSG00000197530.13",182.817086487563,1.50873848668457,0.666474158469546,2.26376141897108,0.0235887926303367,0.0571012781975871
"ENSG00000248333.9",43.2525463293799,2.07708888682282,0.74829109682926,2.77577656025053,0.00550700405513573,0.0216233424062004
"ENSG00000189339.12",20.8848365450996,-2.34268340417676,0.902884899617169,-2.59466450836655,0.00946832900418623,0.031388069155446
"ENSG00000008128.23",2.72898520487877,2.39427126171238,1.73722433553364,1.3782165105216,0.168136451156432,0.241342496146117
"ENSG00000293188.2",3.46419126464063,-0.0207572129784984,1.27687109534737,-0.0162563104875136,0.98702991211131,0.989881889683372
"ENSG00000290854.2",2.45484057242519,-0.190681899786703,1.46653932152472,-0.130021675510518,0.89654927768314,0.921233792104186
"ENSG00000008130.15",41.7322897312283,4.180873020854,0.928821695655691,4.50126546398397,6.75500752804961e-06,0.000254173477408605
"ENSG00000078369.19",433.896186456067,1.41010500580156,0.653995217475331,2.15613962934637,0.0310727638616347,0.0702445855468594
"ENSG00000231050.4",5.15890353799,6.00685855007413,2.19321474455298,2.73883739154711,0.00616568604641092,0.0228215421073183
"ENSG00000306476.1",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000178821.13",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000142609.20",0.436139187994323,-2.0484029101713,2.58075331050575,-0.793722864495668,0.427356786401153,NA
"ENSG00000067606.17",2.72898520487877,2.39427126171238,1.73722433553364,1.3782165105216,0.168136451156432,0.241342496146117
"ENSG00000162585.17",35.0032851164587,0.821701022540787,0.735807647579628,1.11673346321379,0.264108305447363,0.353303101406343
"ENSG00000304038.1",0.573211504221111,2.8369435466039,2.58074856989812,1.09927157557852,0.271649626742811,NA
"ENSG00000157933.11",284.836273119264,-1.16850983843532,0.659152372217431,-1.77274616262758,0.0762707780520204,0.128935348133096
"ENSG00000295493.1",0.573211504221111,2.8369435466039,2.58074856989812,1.09927157557852,0.271649626742811,NA
"ENSG00000287356.2",4.36139187994323,-5.37031719029991,2.18794492303713,-2.45450291447249,0.0141079520909897,0.0408446588719139
"ENSG00000116151.14",26.417573672799,2.71620636058487,0.853509036186438,3.18239906717467,0.00146060414700969,0.00894526411572473
"ENSG00000272161.1",1.74455675197729,-4.04839414423605,2.258163517781,-1.7927816618941,0.0730078428488308,0.124113332843012
"ENSG00000272420.1",3.19004663218705,-2.19067600481253,1.68656876044226,-1.29889516288566,0.193979909924538,0.271563408513388
"ENSG00000157916.20",181.932346991918,-0.815511387771966,0.664978853658015,-1.2263719113561,0.220058751203405,0.303137624574273
"ENSG00000149527.18",6.60439341819975,2.71620351389428,1.29038171104023,2.10496126119507,0.0352946803071899,0.076015639236901
"ENSG00000157881.16",20.1620916049947,0.917841596435146,0.798030529627321,1.15013343770667,0.250088916164258,0.338070845128943
"ENSG00000238164.7",8.39879464880497,-1.41307316121213,1.04176890791681,-1.35641710025481,0.174966495449666,0.248961917301041
"ENSG00000157873.18",23.7882774251761,0.455680505268381,0.770383673901899,0.591498133599346,0.554186705326267,0.638192442829077
"ENSG00000228037.2",4.79753106793756,-5.50782016357182,2.18361667640536,-2.52233838616708,0.0116577504898801,0.0352864491763764
"ENSG00000157870.17",114.268467254513,0.154329596309438,0.672964410665045,0.229328020714981,0.818613976352475,0.860665323759964
"ENSG00000237058.2",1.44548988020976,-0.605717915008177,1.88103651676275,-0.322012842180551,0.747442965625779,0.805369350341034
"ENSG00000215912.13",24.5608668439089,-5.38706574199229,1.59231125993565,-3.38317380372604,0.000716532706429697,0.00567076994468964
"ENSG00000283259.1",0.573211504221111,2.8369435466039,2.58074856989812,1.09927157557852,0.271649626742811,NA
"ENSG00000177133.15",0.573211504221111,2.8369435466039,2.58074856989812,1.09927157557852,0.271649626742811,NA
"ENSG00000142611.17",6.16825423020543,3.71619652728125,1.64491393288379,2.25920423737075,0.0238706833728141,0.0575968554762768
"ENSG00000279839.1",7.4143661959035,-6.13584880996609,2.16827145060493,-2.82983424803856,0.00465721248431617,0.0193718751899592
"ENSG00000286518.1",1.74455675197729,-4.04839414423605,2.258163517781,-1.7927816618941,0.0730078428488308,0.124113332843012
